"Date","RegionName","State","Metro","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2018-10-31,"Culpeper County","VA","Washington-Arlington-Alexandria",905,1568,0.00512820512820513,0.00448430493273543,0.0201691607026675,14310
2018-10-31,"Hillsdale County","MI","Hillsdale",906,1010,0.00297914597815293,0.00198412698412698,0.0140562248995984,15063
2018-10-31,"Mifflin County","PA","Lewistown",907,961,0.00208550573514077,-0.00103950103950104,-0.039,10496
2018-10-31,"Richmond County","NC","Rockingham",908,852,0.00353356890459364,0.00353356890459364,0.0154946364719905,3330
2018-10-31,"Mississippi County","AR","Blytheville",909,829,0.00120772946859903,0.00606796116504854,0.03625,8589
2018-10-31,"Gadsden County","FL","Tallahassee",910,1038,-0.000962463907603465,0.00193050193050193,0.036963036963037,11324
2018-10-31,"Henderson County","KY","Evansville",911,903,0.00556792873051225,0.00556792873051225,-0.105940594059406,12710
2018-10-31,"Warren County","IA","Des Moines-West Des Moines",912,1241,0.00323362974939369,0.0048582995951417,-0.03046875,17023
2018-10-31,"Goodhue County","MN","Red Wing",913,1379,0.00290909090909091,0.00436999271667881,0.0306427503736921,17041
2018-10-31,"Iron County","UT","Cedar City",914,1148,0.00701754385964912,0.00701754385964912,0.000871839581517001,12183
2018-10-31,"Lawrence County","IN","Bedford",915,843,0.00118764845605701,0,-0.0299194476409666,16698
2018-10-31,"Lincoln County","OR","Newport",916,1438,-0.000694927032661571,0.00069589422407794,0.0112517580872011,23289
2018-10-31,"Medina County","TX","San Antonio-New Braunfels",917,1335,0.00225225225225225,0,-0.036101083032491,10935
2018-10-31,"Perry County","PA","Harrisburg-Carlisle",918,1193,0.000838926174496644,-0.000837520938023451,-0.00417362270450751,12965
2018-10-31,"Saint John the Baptist Parish","LA","New Orleans-Metairie",919,1192,0.00252312867956266,0.00505902192242833,0.00846023688663283,12501
2018-10-31,"Barron County","WI",,920,1034,-0.000966183574879227,-0.000966183574879227,-0.0318352059925094,15676
2018-10-31,"Logan County","OH","Bellefontaine",921,994,-0.00100502512562814,-0.00200803212851406,-0.0666666666666667,17356
2018-10-31,"Pittsburg County","OK","McAlester",922,850,0.00117785630153121,0.00117785630153121,-0.0184757505773672,15413
2018-10-31,"Baldwin County","GA","Milledgeville",923,1047,0.00576368876080692,0.00769971126082772,0.00191387559808612,9478
2018-10-31,"Bingham County","ID","Blackfoot",924,1000,0.00908173562058527,0.00806451612903226,-0.0662931839402428,13129
2018-10-31,"Calaveras County","CA",,925,1594,0.00314663310258024,0.00251572327044025,-0.0136138613861386,21171
2018-10-31,"Vance County","NC","Henderson",926,939,0.00106609808102345,0.00213447171824973,0.0140388768898488,7064
2018-10-31,"Branch County","MI","Coldwater",927,994,0.00100704934541793,0.00709219858156028,0.0300518134715026,17860
2018-10-31,"Phelps County","MO","Rolla",928,739,0.0054421768707483,0.0054421768707483,0.00271370420624152,15691
2018-10-31,"Tazewell County","VA","Bluefield",929,994,0.00201612903225806,0,-0.018756169792695,9317
2018-10-31,"Itasca County","MN","Grand Rapids",930,1239,-0.000806451612903226,-0.0016116035455278,0.0256622516556291,25488
2018-10-31,"Bedford County","TN","Shelbyville",931,1199,0.00167084377610693,0.00334728033472803,0.0143824027072758,15107
2018-10-31,"Stephens County","OK","Duncan",932,740,0.0013531799729364,0.00407055630936228,-0.0211640211640212,18297
2018-10-31,"Siskiyou County","CA",,933,1441,0.00698812019566737,0.00348189415041783,0.011938202247191,19388
2018-10-31,"Lincoln County","SD","Sioux Falls",934,1285,-0.00541795665634675,-0.00464756003098373,-0.0558412931667891,6049
2018-10-31,"Whitman County","WA","Pullman",935,1328,0.00835231586940015,0.00835231586940015,0.0867430441898527,8778
2018-10-31,"Thomas County","GA","Thomasville",936,1025,0.0343087790110999,0.0374493927125506,0.0480572597137014,11956
2018-10-31,"Monroe County","WI",,937,999,0,-0.00398803589232303,-0.0319767441860465,14212
2018-10-31,"Monroe County","TN",,938,1116,0.00359712230215827,0.00995475113122172,-0.0088809946714032,15804
2018-10-31,"Windham County","VT",,939,1546,-0.000646412411118293,-0.00578778135048231,-0.00258064516129032,15097
2018-10-31,"Ohio County","WV","Wheeling",940,940,0,0,0.00966702470461869,15585
2018-10-31,"Beltrami County","MN","Bemidji",941,1285,0,0.00469116497263487,0.0313001605136437,12050
2018-10-31,"Shelby County","IN","Indianapolis-Carmel-Anderson",942,1051,0.000952380952380952,-0.000950570342205323,-0.00942507068803016,15616
2018-10-31,"Callaway County","MO","Jefferson City",943,995,0.0030241935483871,0.00403632694248234,-0.0367860600193611,12512
2018-10-31,"Polk County","WI",,944,1057,0.00475285171102662,-0.00470809792843691,-0.088006902502157,17481
2018-10-31,"Douglas County","WI","Duluth",945,942,0.00426439232409382,0.0118152524167562,-0.0942307692307692,15727
2018-10-31,"Cerro Gordo County","IA","Mason City",946,649,0,0,-0.263337116912599,20043
2018-10-31,"Camden County","MO",,947,994,0.00302724520686176,0,-0.0587121212121212,23097
2018-10-31,"Nye County","NV","Pahrump",948,1261,0.00558213716108453,0.00799360511590727,0.0268729641693811,9736
2018-10-31,"Hancock County","MS","Gulfport-Biloxi-Pascagoula",949,1136,0.00530973451327434,0.00977777777777778,0.0538033395176252,17673
2018-10-31,"Dunn County","WI","Menomonie",950,1242,0.0410729253981559,0.0419463087248322,0.135283363802559,13869
2018-10-31,"Sweetwater County","WY","Rock Springs",951,1379,-0.00433212996389892,-0.0079136690647482,-0.0396935933147632,12185
2018-10-31,"Crawford County","OH","Bucyrus",952,792,0.00253164556962025,0.00253164556962025,-0.0294117647058823,15884
2018-10-31,"Sullivan County","NH","Claremont-Lebanon",953,1401,0.00142959256611866,0.00142959256611866,0.00646551724137931,20929
2018-10-31,"Stevens County","WA","Spokane-Spokane Valley",954,1299,0.00619674670797831,0.00541795665634675,0.00697674418604651,19505
2018-10-31,"Charlottesville City","VA","Charlottesville",955,1498,0.00604432505036938,0.00875420875420875,0.0267306374228924,14214
