"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-10-31,274514,"Mid City","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",62,1075600,0.00523364485981308,0.0150042464848542,0.129120302330464,,,"2018-10","2018-Q4",1075600,0,"2018-10"
2018-10-31,269592,"Logan Square","IL","Chicago-Naperville-Elgin","Cook County","Chicago",63,347600,0.00666087460179554,0.0128205128205128,0.014298220017508,,,"2018-04","2018-Q2",348600,-0.00286861732644865,"2018-03"
2018-10-31,275090,"Preston Hollow","TX","Dallas-Fort Worth-Arlington","Dallas County","Dallas",64,396000,0.00482111139304745,0.0096889342172361,0.0476190476190476,,,"2018-10","2018-Q4",396000,0,"2018-10"
2018-10-31,270875,"Lower East Side","NY","New York-Newark-Jersey City","New York County","New York",65,996700,-0.0110140900972415,-0.0216921868865332,-0.0215961519583783,,,"2018-06","2018-Q2",1021100,-0.0238957986485163,"2017-07"
2018-10-31,273652,"Estrella","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",66,203800,0.00841167738743196,0.0241206030150754,0.0974690360796984,,,"2006-06","2006-Q2",243000,-0.161316872427984,"2005-07"
2018-10-31,41131,"Sun Valley","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",67,547400,0.0049568569854966,0.0125786163522013,0.0767112509834776,,,"2018-10","2018-Q4",547400,0,"2018-10"
2018-10-31,33183,"Northridge","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County","Los Angeles",68,694100,0.000576618134640334,-0.000863682164963294,0.00681752248331883,,,"2006-07","2006-Q3",717000,-0.0319386331938633,"2006-01"
2018-10-31,18131,"Flushing","NY","New York-Newark-Jersey City","Queens County","New York",69,723900,0.00639510635339914,0.011881464914733,0.101994215253463,,,"2018-10","2018-Q4",723900,0,"2018-10"
2018-10-31,15046,"Alafaya","FL","Orlando-Kissimmee-Sanford","Orange County","Orlando",70,282400,-0.0010611956137248,0.00284090909090909,0.0680786686838124,,,"2006-08","2006-Q3",332300,-0.150165513090581,"2005-11"
2018-10-31,27182,"South Ozone Park","NY","New York-Newark-Jersey City","Queens County","New York",71,488900,0.00472667488697082,0.00845709570957096,0.0493668169135007,,,"2018-10","2018-Q4",488900,0,"2018-10"
2018-10-31,267900,"Ahwatukee Foothills","AZ","Phoenix-Mesa-Scottsdale","Maricopa County","Phoenix",72,322700,0.00560922405733874,0.0122333751568381,0.0545751633986928,,,"2006-04","2006-Q2",374500,-0.138317757009346,"2005-08"
